country,continent,year,pop,birth_rate,death_rate
Китай,Азия,2022,30600000,18.1,7.4
Китай,Азия,2023,30800000,17.9,7.3
Китай,Азия,2024,31000000,17.7,7.2
Индия,Азия,2000,75743149,22.9,6.7
Индия,Азия,2001,76200000,22.7,6.6
Индия,Азия,2002,76700000,22.5,6.5
Индия,Азия,2003,77200000,22.3,6.4
Индия,Азия,2004,77700000,22.1,6.3
Индия,Азия,2005,73456317,22.8,6.5
Индия,Азия,2006,73900000,22.6,6.4
Индия,Азия,2007,74400000,22.4,6.3
Индия,Азия,2008,74900000,22.2,6.2
Индия,Азия,2009,75400000,22.0,6.1
Индия,Азия,2010,76616387,22.9,6.8
Индия,Азия,2011,77100000,22.7,6.7
Индия,Азия,2012,77600000,22.5,6.6
Индия,Азия,2013,78100000,22.3,6.5
Индия,Азия,2014,78600000,22.1,6.4
Индия,Азия,2015,76572419,21.9,7.0
Индия,Азия,2016,77000000,21.7,6.9
Индия,Азия,2017,77500000,21.5,6.8
Индия,Азия,2018,78000000,21.3,6.7
Индия,Азия,2019,78500000,21.1,6.6
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2021,78100000,20.9,6.4
Индия,Азия,2022,78600000,20.7,6.3
Индия,Азия,2023,79100000,20.5,6.2
Индия,Азия,2024,79600000,20.3,6.1
Бразилия,Америка,2000,18852869,15.4,8.0
Бразилия,Америка,2001,19000000,15.2,7.9
Бразилия,Америка,2002,19200000,15.0,7.8
Бразилия,Америка,2003,19400000,14.8,7.7
Бразилия,Америка,2004,19600000,14.6,7.6
Бразилия,Америка,2005,19005922,15.0,8.2
Бразилия,Америка,2006,19200000,14.8,8.1
Бразилия,Америка,2007,19400000,14.6,8.0
Бразилия,Америка,2008,19600000,14.4,7.9
Бразилия,Америка,2009,19800000,14.2,7.8
Бразилия,Америка,2010,17936355,14.6,8.0
Бразилия,Америка,2011,18100000,14.4,7.9
Бразилия,Америка,2012,18300000,14.2,7.8
Бразилия,Америка,2013,18500000,14.0,7.7
Бразилия,Америка,2014,18700000,13.8,7.6
Бразилия,Америка,2015,17620390,14.6,8.1
Бразилия,Америка,2016,17800000,14.4,8.0
Бразилия,Америка,2017,18000000,14.2,7.9
Бразилия,Америка,2018,18200000,14.0,7.8
Бразилия,Америка,2019,18400000,13.8,7.7
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2021,19200000,14.0,8.4
Бразилия,Америка,2022,19400000,13.8,8.3
Бразилия,Америка,2023,19600000,13.6,8.2
Бразилия,Америка,2024,19800000,13.4,8.1
Германия,Европа,2000,82200000,12.5,10.5
Германия,Европа,2001,82300000,12.3,10.4
Германия,Европа,2002,82400000,12.1,10.3
Германия,Европа,2003,82500000,11.9,10.2
Германия,Европа,2004,82600000,11.7,10.1
Германия,Европа,2005,82700000,11.5,10.0
Германия,Европа,2006,82800000,11.3,9.9
Германия,Европа,2007,82900000,11.1,9.8
Германия,Европа,2008,83000000,10.9,9.7
Германия,Европа,2009,83100000,10.7,9.6
Германия,Европа,2010,83200000,10.5,9.5
Германия,Европа,2011,83300000,10.3,9.4
Германия,Европа,2012,83400000,10.1,9.3
Германия,Европа,2013,83500000,9.9,9.2
Германия,Европа,2014,83600000,9.7,9.1
Германия,Европа,2015,83700000,9.5,9.0
Германия,Европа,2016,83800000,9.3,8.9
Германия,Европа,2017,83900000,9.1,8.8
Германия,Европа,2018,84000000,8.9,8.7
Германия,Европа,2019,84100000,8.7,8.6
Германия,Европа,2020,84200000,8.5,8.5
Германия,Европа,2021,84300000,8.3,8.4
Германия,Европа,2022,84400000,8.1,8.3
Германия,Европа,2023,84500000,7.9,8.2
Германия,Европа,2024,84600000,7.7,8.1
Япония,Азия,2000,126800000,12.0,9.0
Япония,Азия,2001,126900000,11.8,8.9
Япония,Азия,2002,127000000,11.6,8.8
Япония,Азия,2003,127100000,11.4,8.7
Япония,Азия,2004,127200000,11.2,8.6
Япония,Азия,2005,127300000,11.0,8.5
Япония,Азия,2006,127400000,10.8,8.4
Япония,Азия,2007,127500000,10.6,8.3
Япония,Азия,2008,127600000,10.4,8.2
Япония,Азия,2009,127700000,10.2,8.1
Япония,Азия,2010,127800000,10.0,8.0
Япония,Азия,2011,127900000,9.8,7.9
Япония,Азия,2012,128000000,9.6,7.8
Япония,Азия,2013,128100000,9.4,7.7
Япония,Азия,2014,128200000,9.2,7.6
Япония,Азия,2015,128300000,9.0,7.5
Япония,Азия,2016,128400000,8.8,7.4
Япония,Азия,2017,128500000,8.6,7.3
Япония,Азия,2018,128600000,8.4,7.2
Япония,Азия,2019,128700000,8.2,7.1
Япония,Азия,2020,128800000,8.0,7.0
Япония,Азия,2021,128900000,7.8,6.9
Япония,Азия,2022,129000000,7.6,6.8
Япония,Азия,2023,129100000,7.4,6.7
Япония,Азия,2024,129200000,7.2,6.6
Турция,Европа,2000,65000000,17.5,6.5
Турция,Европа,2001,65500000,17.3,6.4
Турция,Европа,2002,66000000,17.1,6.3
Турция,Европа,2003,66500000,16.9,6.2
Турция,Европа,2004,67000000,16.7,6.1
Турция,Европа,2005,67500000,16.5,6.0
Турция,Европа,2006,68000000,16.3,5.9
Турция,Европа,2007,68500000,16.1,5.8
Турция,Европа,2008,69000000,15.9,5.7
Турция,Европа,2009,69500000,15.7,5.6
Турция,Европа,2010,70000000,15.5,5.5
Турция,Европа,2011,70500000,15.3,5.4
Турция,Европа,2012,71000000,15.1,5.3
Турция,Европа,2013,71500000,14.9,5.2
Турция,Европа,2014,72000000,14.7,5.1
Турция,Европа,2015,72500000,14.5,5.0
Турция,Европа,2016,73000000,14.3,4.9
Турция,Европа,2017,73500000,14.1,4.8
Турция,Европа,2018,74000000,13.9,4.7
Турция,Европа,2019,74500000,13.7,4.6
Турция,Европа,2020,75000000,13.5,4.5
Турция,Европа,2021,75500000,13.3,4.4
Турция,Европа,2022,76000000,13.1,4.3
Турция,Европа,2023,76500000,12.9,4.2
Турция,Европа,2024,77000000,12.7,4.1
Египет,Африка,2000,68000000,20.0,7.0
Египет,Африка,2001,68500000,19.8,6.9
Египет,Африка,2002,69000000,19.6,6.8
Египет,Африка,2003,69500000,19.4,6.7
Египет,Африка,2004,70000000,19.2,6.6
Египет,Африка,2005,70500000,19.0,6.5
Египет,Африка,2006,71000000,18.8,6.4
Египет,Африка,2007,71500000,18.6,6.3
Египет,Африка,2008,72000000,18.4,6.2
Египет,Африка,2009,72500000,18.2,6.1
Египет,Африка,2010,73000000,18.0,6.0
Египет,Африка,2011,73500000,17.8,5.9
Египет,Африка,2012,74000000,17.6,5.8
Египет,Африка,2013,74500000,17.4,5.7
Египет,Африка,2014,75000000,17.2,5.6
Египет,Африка,2015,75500000,17.0,5.5
Египет,Африка,2016,76000000,16.8,5.4
Египет,Африка,2017,76500000,16.6,5.3
Египет,Африка,2018,77000000,16.4,5.2
Египет,Африка,2019,77500000,16.2,5.1
Египет,Африка,2020,78000000,16.0,5.0
Египет,Африка,2021,78500000,15.8,4.9
Египет,Африка,2022,79000000,15.6,4.8
Египет,Африка,2023,79500000,15.4,4.7
Египет,Африка,2024,80000000,15.2,4.6
Мексика,Америка,2000,100000000,18.0,6.5
Мексика,Америка,2001,100500000,17.8,6.4
Мексика,Америка,2002,101000000,17.6,6.3
Мексика,Америка,2003,101500000,17.4,6.2
Мексика,Америка,2004,102000000,17.2,6.1
Мексика,Америка,2005,102500000,17.0,6.0
Мексика,Америка,2006,103000000,16.8,5.9
Мексика,Америка,2007,103500000,16.6,5.8
Мексика,Америка,2008,104000000,16.4,5.7
Мексика,Америка,2009,104500000,16.2,5.6
Мексика,Америка,2010,105000000,16.0,5.5
Мексика,Америка,2011,105500000,15.8,5.4
Мексика,Америка,2012,106000000,15.6,5.3
Мексика,Америка,2013,106500000,15.4,5.2
Мексика,Америка,2014,107000000,15.2,5.1
Мексика,Америка,2015,107500000,15.0,5.0
Мексика,Америка,2016,108000000,14.8,4.9
Мексика,Америка,2017,108500000,14.6,4.8
Мексика,Америка,2018,109000000,14.4,4.7
Мексика,Америка,2019,109500000,14.2,4.6
Мексика,Америка,2020,110000000,14.0,4.5
Мексика,Америка,2021,110500000,13.8,4.4
Мексика,Америка,2022,111000000,13.6,4.3
Мексика,Америка,2023,111500000,13.4,4.2
Мексика,Америка,2024,112000000,13.2,4.1
,Европа,2000,119294411,18.9,13.2
,Европа,2005,119901933,19.3,
Россия,Европа,2010,,19.5,14.0
США,,2000,125187434,25.7,12.5
США,,2005,126950456,24.5,12.8
США,Америка,2010,129254648,24.5,
КИТАЙ,Азия,2000,28839603,21.2,7.4
China,Азия,2005,27861769,20.6,7.4
  Индия  ,Азия,2000,75743149,22.9,6.7
индия,Азия,2005,73456317,22.8,6.5
  Бразилия  ,Америка,2000,18852869,15.4,8.0
бразилия,Америка,2005,19005922,15.0,8.2
Brasil,Америка,2010,17936355,14.6,8.0
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2020,123175538,18.4,13.7
США,Америка,2020,131096272,23.8,13.3
США,Америка,2020,131096272,23.8,13.3
США,Америка,2020,131096272,23.8,13.3
США,Америка,2020,131096272,23.8,13.3
США,Америка,2020,131096272,23.8,13.3
США,Америка,2020,131096272,23.8,13.3
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2020,30173371,18.5,7.6
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2020,77620818,21.1,6.5
Индия,Азия,2020,77620818,21.1,6.5
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2020,19046672,14.2,8.5
Бразилия,Америка,2020,19046672,14.2,8.5
Германия,Европа,2020,84200000,8.5,8.5
Германия,Европа,2020,84200000,8.5,8.5
Германия,Европа,2020,84200000,8.5,8.5
Германия,Европа,2020,84200000,8.5,8.5
Япония,Азия,2020,128800000,8.0,7.0
Япония,Азия,2020,128800000,8.0,7.0
Япония,Азия,2020,128800000,8.0,7.0
Япония,Азия,2020,128800000,8.0,7.0
Турция,Европа,2020,75000000,13.5,4.5
Турция,Европа,2020,75000000,13.5,4.5
Турция,Европа,2020,75000000,13.5,4.5
Египет,Африка,2020,78000000,16.0,5.0
Египет,Африка,2020,78000000,16.0,5.0
Египет,Африка,2020,78000000,16.0,5.0
Мексика,Америка,2020,110000000,14.0,4.5
Мексика,Америка,2020,110000000,14.0,4.5
Мексика,Америка,2020,110000000,14.0,4.5
